Duration (in seconds),ResponseId,P_ID,Age,Gender,1_Per_Imp_1,1_RT_First Click,1_RT_Last Click,1_RT_Page Submit,1_RT_Click Count,2_Per_Imp_1,2_RT_First Click,2_RT_Last Click,2_RT_Page Submit,2_RT_Click Count,3_Per_Imp_1,3_RT_First Click,3_RT_Last Click,3_RT_Page Submit,3_RT_Click Count,4_Per_Imp_1,4_RT_First Click,4_RT_Last Click,4_RT_Page Submit,4_RT_Click Count,5_Per_Imp_1,5_RT_First Click,5_RT_Last Click,5_RT_Page Submit,5_RT_Click Count,6_Per_Imp_1,6_RT_First Click,6_RT_Last Click,6_RT_Page Submit,6_RT_Click Count,7_Per_Imp_1,7_RT_First Click,7_RT_Last Click,7_RT_Page Submit,7_RT_Click Count,8_Per_Imp_1,8_RT_First Click,8_RT_Last Click,8_RT_Page Submit,8_RT_Click Count,9_Per_Imp_1,9_RT_First Click,9_RT_Last Click,9_RT_Page Submit,9_RT_Click Count,10_Per_Imp_1,10_RT_First Click,10_RT_Last Click,10_RT_Page Submit,10_RT_Click Count,11_Per_Imp_1,11_RT_First Click,11_RT_Last Click,11_RT_Page Submit,11_RT_Click Count,12_Per_Imp_1,12_RT_First Click,12_RT_Last Click,12_RT_Page Submit,12_RT_Click Count,13_Per_Imp_1,13_RT_First Click,13_RT_Last Click,13_RT_Page Submit,13_RT_Click Count,14_Per_Imp_1,14_RT_First Click,14_RT_Last Click,14_RT_Page Submit,14_RT_Click Count,15_Per_Imp_1,15_RT_First Click,15_RT_Last Click,15_RT_Page Submit,15_RT_Click Count,16_Per_Imp_1,16_RT_First Click,16_RT_Last Click,16_RT_Page Submit,16_RT_Click Count,17_Per_Imp_1,17_RT_First Click,17_RT_Last Click,17_RT_Page Submit,17_RT_Click Count,18_Per_Imp_1,18_RT_First Click,18_RT_Last Click,18_RT_Page Submit,18_RT_Click Count,19_Per_Imp_1,19_RT_First Click,19_RT_Last Click,19_RT_Page Submit,19_RT_Click Count,20_Per_Imp_1,20_RT_First Click,20_RT_Last Click,20_RT_Page Submit,20_RT_Click Count,21_Per_Imp_1,21_RT_First Click,21_RT_Last Click,21_RT_Page Submit,21_RT_Click Count,22_Per_Imp_1,22_RT_First Click,22_RT_Last Click,22_RT_Page Submit,22_RT_Click Count,23_Per_Imp_1,23_RT_First Click,23_RT_Last Click,23_RT_Page Submit,23_RT_Click Count,24_Per_Imp_1,24_RT_First Click,24_RT_Last Click,24_RT_Page Submit,24_RT_Click Count,25_Per_Imp_1,25_RT_First Click,25_RT_Last Click,25_RT_Page Submit,25_RT_Click Count,26_Per_Imp_1,26_RT_First Click,26_RT_Last Click,26_RT_Page Submit,26_RT_Click Count,27_Per_Imp_1,27_RT_First Click,27_RT_Last Click,27_RT_Page Submit,27_RT_Click Count,28_Per_Imp_1,28_RT_First Click,28_RT_Last Click,28_RT_Page Submit,28_RT_Click Count,29_Per_Imp_1,29_RT_First Click,29_RT_Last Click,29_RT_Page Submit,29_RT_Click Count,30_Per_Imp_1,30_RT_First Click,30_RT_Last Click,30_RT_Page Submit,30_RT_Click Count,1_Gen_Imp_1,1_RT_First Click,1_RT_Last Click,1_RT_Page Submit,1_RT_Click Count,2_Gen_Imp_1,2_RT_First Click,2_RT_Last Click,2_RT_Page Submit,2_RT_Click Count,3_Gen_Imp_1,3_RT_First Click,3_RT_Last Click,3_RT_Page Submit,3_RT_Click Count,4_Gen_Imp_1,4_RT_First Click,4_RT_Last Click,4_RT_Page Submit,4_RT_Click Count,5_Gen_Imp_1,5_RT_First Click,5_RT_Last Click,5_RT_Page Submit,5_RT_Click Count,6_Gen_Imp_1,6_RT_First Click,6_RT_Last Click,6_RT_Page Submit,6_RT_Click Count,7_Gen_Imp_1,7_RT_First Click,7_RT_Last Click,7_RT_Page Submit,7_RT_Click Count,8_Gen_Imp_1,8_RT_First Click,8_RT_Last Click,8_RT_Page Submit,8_RT_Click Count,9_Gen_Imp_1,9_RT_First Click,9_RT_Last Click,9_RT_Page Submit,9_RT_Click Count,10_Gen_Imp_1,10_RT_First Click,10_RT_Last Click,10_RT_Page Submit,10_RT_Click Count,11_Gen_Imp_1,11_RT_First Click,11_RT_Last Click,11_RT_Page Submit,11_RT_Click Count,12_Gen_Imp_1,12_RT_First Click,12_RT_Last Click,12_RT_Page Submit,12_RT_Click Count,13_Gen_Imp_1,13_RT_First Click,13_RT_Last Click,13_RT_Page Submit,13_RT_Click Count,14_Gen_Imp_1,14_RT_First Click,14_RT_Last Click,14_RT_Page Submit,14_RT_Click Count,15_Gen_Imp_1,15_RT_First Click,15_RT_Last Click,15_RT_Page Submit,15_RT_Click Count,16_Gen_Imp_1,16_RT_First Click,16_RT_Last Click,16_RT_Page Submit,16_RT_Click Count,17_Gen_Imp_1,17_RT_First Click,17_RT_Last Click,17_RT_Page Submit,17_RT_Click Count,18_Gen_Imp_1,18_RT_First Click,18_RT_Last Click,18_RT_Page Submit,18_RT_Click Count,19_Gen_Imp_1,19_RT_First Click,19_RT_Last Click,19_RT_Page Submit,19_RT_Click Count,20_Gen_Imp_1,20_RT_First Click,20_RT_Last Click,20_RT_Page Submit,20_RT_Click Count,21_Gen_Imp_1,21_RT_First Click,21_RT_Last Click,21_RT_Page Submit,21_RT_Click Count,22_Gen_Imp_1,22_RT_First Click,22_RT_Last Click,22_RT_Page Submit,22_RT_Click Count,23_Gen_Imp_1,23_RT_First Click,23_RT_Last Click,23_RT_Page Submit,23_RT_Click Count,24_Gen_Imp_1,24_RT_First Click,24_RT_Last Click,24_RT_Page Submit,24_RT_Click Count,25_Gen_Imp_1,25_RT_First Click,25_RT_Last Click,25_RT_Page Submit,25_RT_Click Count,26_Gen_Imp_1,26_RT_First Click,26_RT_Last Click,26_RT_Page Submit,26_RT_Click Count,27_Gen_Imp_1,27_RT_First Click,27_RT_Last Click,27_RT_Page Submit,27_RT_Click Count,28_Gen_Imp_1,28_RT_First Click,28_RT_Last Click,28_RT_Page Submit,28_RT_Click Count,29_Gen_Imp_1,29_RT_First Click,29_RT_Last Click,29_RT_Page Submit,29_RT_Click Count,30_Gen_Imp_1,30_RT_First Click,30_RT_Last Click,30_RT_Page Submit,30_RT_Click Count,GC,Group,Treatment,Eng
449,R_9Yvvr07TantpSCZ,5f1eadf617e7c80008b0d2ae,19,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,5.861,5.861,7.412,1,9,4.354,4.354,5.176,1,28,6.915,6.915,7.771,1,11,5.034,6.007,7.875,2,27,9.514,16.117,18.172,3,34,8.301,9.176,9.216,2,3,6.558,7.693,9.105,2,13,6.452,6.452,7.326,1,10,6.428,6.428,7.199,1,0,3.817,6.651,8.158,4,27,5.801,5.801,7.161,1,34,4.696,4.696,5.554,1,28,7.634,7.634,8.515,1,21,8.691,8.691,9.607,1,27,8.485,8.485,9.586,1,18,7.101,7.101,7.984,1,1,10.806,11.536,14.615,2,40,12.288,14.817,15.813,3,26,7.012,7.012,9.047,1,0,7.255,7.255,8.22,1,66,13.328,13.328,14.948,1,74,3.601,3.601,4.684,1,0,4.182,7.74,8.244,5,69,6.079,6.751,6.79,2,21,7.687,9,9.629,2,39,7.036,7.036,7.939,1,36,4.792,4.792,5.713,1,12,7.134,7.134,9.364,1,0,7.388,11.9,13.253,6,0,3.783,6.204,6.245,4,94,Other,VAS,Yes.
387,R_yqoNdD0JfFpqaPf,5eea4f4de0d561110a00ccfa,23,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,5.042,5.042,5.611,1,43,4.39,4.39,4.956,1,52,2.937,2.937,3.452,1,50,2.68,3.676,4.346,2,99,8.423,8.423,9.009,1,47,4.27,4.907,5.046,2,11,5.512,6.109,7.013,2,65,3.009,3.009,4.185,1,37,2.831,2.831,3.664,1,22,4.737,6.256,7.074,3,82,0.434,9.982,10.46,6,21,8.048,8.048,8.709,1,86,3.262,3.262,3.758,1,95,12.672,12.672,13.185,1,51,2.609,3.864,4.469,3,74,6.801,6.801,7.328,1,15,2.402,2.402,3.032,1,21,3.38,3.974,4.494,2,32,3.756,4.824,5.511,3,32,6.786,6.786,7.747,1,81,3.282,3.783,3.701,2,63,19.646,19.646,20.229,1,19,2.376,3.104,4.003,2,66,4.846,4.846,5.374,1,53,20.814,21.504,22.164,2,49,8.495,9.15,9.705,2,37,8.511,8.511,9.1,1,26,17.114,18.003,18.732,3,12,3.77,4.437,5.083,2,18,7.112,7.112,7.746,1,91,Other,VAS,Yes.
527,R_2uNCrCmrVTLhIrN,5efe123e81acba0e69d61fcd,25,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7.641,7.641,8.908,1,0,6.474,6.474,7.637,1,4,4.165,4.165,5.138,1,0,3.918,4.283,5.187,2,17,12.115,14.827,15.743,2,2,7.134,7.134,8.251,1,11,13.042,14.132,15.127,3,5,3.247,3.247,4.133,1,1,5.787,5.787,6.727,1,0,4.412,5.48,6.243,2,56,8.135,9.2,9.996,3,4,5.771,6.269,7.103,2,67,6.589,6.589,7.242,1,28,14.981,14.981,16.039,1,33,16.043,18.699,19.4,3,67,6.111,6.111,6.874,1,0,3.261,4.954,7.698,3,23,13.097,13.874,14.515,2,50,7.69,8.091,9.167,2,0,15.964,16.569,17.732,2,70,7.136,9.192,10.147,4,23,5.844,5.844,6.665,1,3,3.884,3.884,4.751,1,70,5.398,6.814,7.779,3,39,8.907,10.23,11.129,3,15,6.737,6.737,7.779,1,5,5.41,6.224,7.236,2,34,8.207,10.406,11.281,4,0,15.949,23.038,24.89,3,0,3.395,3.395,4.671,1,79,Other,VAS,Yes.
374,R_3pBL8vesSijzNm1,5d53e2d15b17d500168df632,51,Male,1,2.791,2.791,3.985,1,0,5.892,5.892,7.063,1,11,4.112,6.101,7.27,2,0,3.715,3.715,5.058,1,0,7.986,7.986,9.063,1,0,3.253,3.999,4.979,2,0,6.565,6.565,7.784,1,0,7.584,7.584,8.673,1,0,4.616,4.616,5.709,1,0,3.669,3.669,6.505,1,100,9.302,9.302,10.622,1,49,6.241,6.241,7.236,1,0,5.832,5.832,6.901,1,0,4.753,4.753,5.853,1,50,9.78,9.78,10.991,1,0,3.235,3.235,4.441,1,0,10.874,10.874,12.051,1,0,8.103,8.737,9.73,2,0,5.913,5.913,6.938,1,0,4.841,4.841,5.858,1,0,8.062,10.062,11.057,2,0,10.828,10.828,13.686,1,0,2.101,2.101,3.188,1,100,8.149,8.149,9.5,1,0,6.784,6.784,7.866,1,12,4.617,4.617,5.766,1,0,3.791,3.791,4.87,1,0,2.32,2.32,3.538,1,0,3.081,3.081,3.901,1,0,5.5,5.5,6.702,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,Self,VAS,Yes.
600,R_3rYfW4qFChAzWMH,5edec2b3e095321650bddc22,33,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6.292,7.12,8.546,2,11,5.314,5.314,6.844,1,14,4.959,4.959,6.02,1,4,5.321,9.367,10.515,6,50,13.473,13.473,14.169,1,9,9.992,9.992,10.883,1,10,44.828,49.76,50.844,2,4,5.159,7.448,8.238,4,15,5.901,6.596,7.594,2,0,6.208,6.982,7.746,3,7,14.941,16.78,17.684,3,0,35.051,35.051,37.313,1,47,4.78,10.303,11.189,3,28,5.449,5.449,6.691,1,26,6.572,6.572,7.478,1,2,4.101,4.101,5.746,1,0,3.65,3.65,6.527,1,48,12.374,16.107,16.601,6,4,10.697,11.54,12.313,2,0,36.073,39.042,39.769,4,25,7.814,7.814,8.718,1,25,6.591,6.591,7.386,1,9,8.276,8.276,9.179,1,19,45.674,48.701,49.75,4,5,3,8.749,11.517,2,0,1.909,15.416,16.385,2,9,10.61,16.501,17.492,2,3,3.852,6.001,7.894,4,0,7.084,7.084,13.193,1,2,7.761,7.761,8.734,1,100,Other,VAS,Yes.
319,R_YbOPKfZhA40Hs1r,5ef272b9e45c1f0d58934d30,36,Female,33,5.203,5.203,6.317,1,34,2.742,2.742,3.97,1,33,5.464,6.012,7.734,2,48,3.741,3.741,4.982,1,14,3.004,12.009,13.181,2,52,3.327,3.327,4.438,1,34,8.171,8.759,9.795,2,7,2.629,2.629,4.244,1,59,3.948,8.264,9.32,2,4,2.685,4.702,5.931,2,56,3.272,4.168,6.039,2,6,4.759,4.759,6.435,1,55,4.274,4.274,6.003,1,51,4.485,5.216,6.176,2,66,2.559,4.382,5.873,3,28,2.408,3.702,5.328,2,17,5.31,6.336,7.582,2,46,3.259,5.867,6.986,3,39,4.502,4.502,5.675,1,5,3.957,3.957,5.602,1,50,2.882,2.882,4.476,1,57,4.942,4.942,6.33,1,18,4.433,4.433,6.04,1,63,3.672,5.57,6.487,3,37,4.354,5.542,5.962,2,51,2.983,2.983,4.052,1,32,3.991,3.991,5.204,1,21,4.404,4.404,5.758,1,32,1.944,3.047,4.04,2,2,4.387,4.387,5.647,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,Self,VAS,Yes.
457,R_3KvE2LE7PHb7cdl,5ef1a3d6db73ad576f708acd,31,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,9.646,9.646,11,1,0,9.178,9.178,10.23,1,18,9.008,9.917,11.142,2,63,1.851,1.851,2.769,1,65,1.23,2.259,3.214,2,15,8.444,8.444,9.392,1,15,10.136,10.136,11.217,1,28,8.679,8.679,9.584,1,32,7.469,7.469,8.268,1,56,1.473,1.473,2.29,1,95,10.125,10.125,11.126,1,51,15.601,16.692,17.624,3,100,9.786,9.786,10.663,1,100,7.264,8.422,9.378,3,91,7.481,7.481,8.48,1,100,6.36,7.185,8.162,2,0,8.998,10.099,11.038,2,98,7.661,9.961,10.602,4,59,2.903,3.804,4.191,2,0,9.106,9.435,11.036,2,85,9.01,9.01,9.832,1,100,5.779,5.779,6.694,1,0,10.158,10.158,11.266,1,100,6.743,6.743,7.936,1,100,9.196,9.196,10.101,1,76,11.042,11.042,11.832,1,71,9.796,11.115,12.372,3,73,19.661,19.661,20.525,1,51,1.975,1.975,3.43,1,46,9.97,9.97,10.931,1,54,Other,VAS,"No, it's my second language."
372,R_W39ZDP5jcmfx3Ed,5ede7a6077b7da0ede09a3e8,22,Female,25,5.609,5.609,6.77,1,4,7.169,7.169,8.326,1,75,5.991,5.991,6.661,1,26,4.461,4.461,5.542,1,29,14.915,14.915,16.224,1,8,4.474,4.474,5.531,1,19,6.515,7.12,8.221,2,71,5.028,5.028,5.815,1,29,4.943,4.943,6.735,1,50,10.38,10.38,11.518,1,81,5.261,5.867,6.665,2,20,6.094,6.094,7.469,1,33,5.735,5.735,6.552,1,73,10.471,10.471,11.477,1,88,4.451,4.451,5.321,1,25,4.615,4.615,6.061,1,28,7.833,7.833,8.957,1,22,8.074,10.753,11.81,4,10,9.422,9.422,10.415,1,11,5.631,5.631,6.678,1,17,5.16,5.698,6.556,2,50,26.547,26.547,27.759,1,23,3.573,3.573,4.54,1,98,7.615,7.615,8.879,1,24,7.246,7.246,8.72,1,25,4.025,5.315,6.6,2,28,4.316,4.316,5.611,1,29,7.099,7.099,7.919,1,14,7.937,7.937,9.311,1,27,2.344,5.663,7.209,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,Self,VAS,Yes.
528,R_DMgE1AzeIQkIijL,5e9c5460d2c58515ec1702be,24,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,9.05,9.05,10.422,1,13,6.625,6.625,8.057,1,48,13.044,14.06,14.868,2,23,5.011,14.631,18.067,2,52,16.882,16.882,18.339,1,15,13.393,13.393,14.683,1,0,7.417,9.365,10.537,3,36,8.957,8.957,10.336,1,30,8.735,10.587,11.533,3,2,5.525,5.525,7.118,1,50,8.288,8.288,9.345,1,1,8.805,9.654,11.071,2,56,11.84,13.21,14.625,2,42,6.189,7.777,8.6,3,51,2.781,10.55,11.613,3,6,3.43,15.116,16.584,5,0,9.544,9.544,11.03,1,58,10.673,10.673,11.68,1,27,6.465,7.669,8.733,3,10,0.116,12.337,13.667,3,27,16.626,16.626,19.196,1,62,8.22,8.22,9.719,1,0,6.795,8.924,9.484,4,61,6.3,8.224,8.691,4,26,22.087,22.943,23.982,2,19,5.936,5.936,6.941,1,42,8.414,8.813,9.948,2,5,8.411,10.236,11.36,3,2,6.942,9.54,10.785,2,2,5.856,5.856,7.215,1,91,Other,VAS,Yes.
463,R_1oHd3UJImVRqjaz,5d3eeb5ce6e732001b522eea,41,Female,60,5.045,5.845,6.819,3,47,5.691,5.691,6.569,1,72,6.206,8.446,9.243,4,41,4.505,4.505,5.39,1,65,8.891,8.891,9.592,1,64,4.621,5.518,6.284,3,59,8.186,8.186,8.839,1,66,8.276,9.34,10.129,2,24,7.122,7.122,7.952,1,38,5.274,5.274,6.128,1,78,5.2,7.704,8.525,4,68,4.601,4.601,5.75,1,67,5.835,5.835,6.753,1,60,8.673,10.034,10.848,2,68,4.093,4.093,4.866,1,78,13.496,13.496,14.293,1,1,7.405,8.445,9.371,2,77,9.792,9.792,10.726,1,54,6.03,6.03,7.02,1,35,5.275,6.467,7.825,2,71,33.381,33.701,35.731,2,88,7.032,7.393,8.007,2,37,6.436,6.436,7.577,1,82,8.51,9.566,10.292,2,60,6.065,6.065,7.166,1,58,8.852,8.852,9.586,1,69,9.482,9.482,10.215,1,56,5.382,5.382,6.315,1,39,7.188,7.636,9.274,2,42,5.921,5.921,6.694,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,Self,VAS,Yes.
418,R_2RWJBuWHmUFAW54,571c92b2e1d2ec0009a6872b,30,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,11.443,11.443,12.54,1,1,3.867,6.544,7.789,2,27,10.133,12.432,13.808,2,5,4.354,6.155,7.582,3,50,11.017,11.017,12.253,1,36,8.099,12.945,14.012,4,1,5.743,5.743,7.024,1,64,6.016,6.016,7.084,1,37,6.953,6.953,8.382,1,1,4.354,4.354,5.876,1,66,6.099,6.099,7.397,1,17,5.715,7.476,8.894,2,8,8.925,8.925,10.8,1,43,6.44,6.44,7.711,1,41,4.854,4.854,5.907,1,35,6.713,6.713,8.028,1,2,4.915,4.915,6.101,1,71,9.503,9.503,10.716,1,10,7.089,7.089,8.434,1,27,6.33,6.33,7.699,1,17,7.783,7.783,9.167,1,70,6.665,6.665,7.857,1,15,5.239,5.239,6.432,1,58,5.952,5.952,7.464,1,31,7.424,7.424,8.705,1,59,5.655,5.655,6.979,1,35,7.818,7.818,9.059,1,54,7.739,7.739,9.013,1,11,7.353,7.353,8.537,1,0,3.973,3.973,5.136,1,74,Other,VAS,Yes.
649,R_zS8BgH2xsPIZS2B,5d46f81ceebfba00011b69eb,47,Female,1,5.446,6.212,6.879,2,3,4.186,4.186,4.768,1,95,11.775,11.775,12.439,1,4,4.882,4.882,5.801,1,17,8.474,8.474,9.189,1,40,41.776,41.776,42.387,1,2,4.977,203.737,204.487,3,37,6.107,6.107,6.649,1,48,4.329,4.329,4.853,1,0,5.018,5.018,5.5,1,92,5.09,5.09,5.625,1,0,56.486,58.425,59.098,4,21,8.122,8.122,8.671,1,51,8.859,8.859,9.472,1,6,5.88,5.88,6.9,1,16,7.05,7.05,7.685,1,0,3.271,4.023,4.62,2,72,14.055,14.055,14.641,1,0,10.252,14.732,15.515,2,0,2.881,2.881,3.499,1,6,17.151,17.151,17.738,1,82,5.915,5.915,6.418,1,0,6.183,6.183,6.782,1,100,3.66,4.41,4.851,2,4,4.559,4.559,5.129,1,6,6.508,6.508,7.545,1,65,9.326,9.326,9.861,1,5,4.317,4.317,4.884,1,4,14.743,15.438,16.071,2,1,3.285,3.285,3.959,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,Self,VAS,Yes.
423,R_3EolFi6uzdhvFrj,5efcc3c415ba870c157d0072,36,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5.975,6.99,9.091,2,5,6.51,7.317,8.94,2,31,3.742,3.742,5.254,1,15,5.138,5.138,6.777,1,50,8.793,8.793,11.124,1,32,7.384,7.384,8.445,1,50,5.712,5.712,16.449,1,11,5.497,5.497,7.741,1,11,3.776,3.776,5.306,1,4,4.529,4.529,6.034,1,59,5.109,5.109,6.699,1,13,9.609,11.098,13.681,2,51,8.695,10.848,13.105,2,50,5.958,9.282,12.868,2,50,4.987,4.987,6.726,1,69,6.458,7.328,9.261,2,7,5.197,5.197,6.996,1,28,6.202,6.202,8.088,1,51,7.163,7.163,9.292,1,14,6.048,6.048,9.167,1,48,18.775,21.381,23.148,2,50,4.927,8.165,11.063,2,4,5.307,5.307,7.109,1,50,6.884,6.884,10.913,1,62,12.686,12.686,14.964,1,29,6.558,9.424,10.492,2,8,4.297,4.297,5.684,1,28,4.701,4.701,8.486,1,2,5.123,6.038,7.784,2,8,3.599,6.931,8.786,2,62,Other,VAS,Yes.
869,R_1SquTT1xC5Z7Jfz,5c964575c7f75b000167754e,62,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,17.29,18.924,23.138,2,0,12.602,12.602,14.856,1,62,19.548,19.548,21.538,1,1,12.626,12.626,14.922,1,10,26.914,26.914,29.897,1,10,18.894,18.894,21.508,1,0,16.167,18.423,20.661,2,41,19.89,19.89,22.096,1,51,19.578,19.578,21.56,1,0,14.068,14.068,16.488,1,93,16.2,16.2,18.045,1,8,15.193,15.193,17.574,1,50,17.898,26.445,29.346,4,28,17.176,17.176,19.358,1,1,14.741,14.741,17.411,1,29,11.612,16.253,18.522,2,0,13.962,13.962,16.391,1,76,19.344,19.344,21.166,1,2,13.491,13.491,16.05,1,8,18.031,21.289,23.637,2,19,24.785,29.114,31.328,2,52,28.401,28.401,30.342,1,0,19.325,19.325,21.795,1,81,15.633,15.633,17.422,1,0,18.104,18.104,20.294,1,1,15.324,15.324,17.93,1,67,14.637,14.637,16.459,1,1,13.471,13.471,15.781,1,1,12.49,12.49,14.815,1,0,11.746,11.746,14.216,1,94,Other,VAS,Yes.
579,R_DHqN1H1XfbVGIYp,5cdec451f833e50016931c1f,40,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,19.008,19.008,20.56,1,0,5.841,5.841,6.735,1,0,4.688,4.688,5.773,1,0,29.978,30.793,31.288,2,3,7.925,9.845,10.596,2,9,11.434,11.434,12.497,1,0,6.188,6.188,6.976,1,13,16.074,16.074,17.056,1,0,3.005,3.005,4.049,1,0,9.05,9.05,10.25,1,39,4.96,4.96,5.718,1,0,9.228,9.228,13.042,1,15,5.713,5.713,6.881,1,8,3.8,3.8,4.591,1,23,7.845,8.15,8.924,2,29,9.567,10.559,11.414,2,0,8.39,8.39,9.116,1,65,5.087,10.311,10.67,8,5,23.748,23.748,24.787,1,0,7.195,8.596,10.883,2,50,15.106,15.106,15.928,1,92,7.324,10.653,12.267,3,8,16.51,16.967,17.917,2,37,10.835,17.434,18.416,7,19,6.493,6.493,7.322,1,16,8.427,8.427,9.232,1,10,8.124,9.341,10.994,2,12,64.515,64.515,65.689,1,0,29.423,29.423,30.552,1,0,5.992,6.345,7.073,2,53,Other,VAS,Yes.
